Stimulus(s),S21(Real),S21(Imag)
2.98059611922E-08,+1.42706236748E-08,-4.54072697308E-09
3.00060012002E-08,+6.26954674932E-08,-9.75084651780E-09
3.02060412082E-08,+6.49772027295E-08,-8.07663217226E-08
3.04060812162E-08,-2.23870105592E-08,-1.32412686007E-07
3.06061212242E-08,-1.42092036375E-07,-8.50367611816E-08
3.08061612322E-08,-1.95762228191E-07,+5.42849315166E-08
3.10062012402E-08,-1.32579545572E-07,+2.04856537710E-07
3.12062412482E-08,+2.28917949020E-08,+2.81459817338E-07
3.14062812563E-08,+2.01427957352E-07,+2.40562186314E-07
3.16063212643E-08,+3.22787072153E-07,+8.71989136814E-08
3.18063612723E-08,+3.17143257497E-07,-1.23170652587E-07
3.20064012803E-08,+1.62220331704E-07,-2.86260380453E-07
3.22064412883E-08,-7.29070411184E-08,-2.94939975282E-07
3.24064812963E-08,-2.43098336253E-07,-1.27794167520E-07
3.26065213043E-08,-2.30663329306E-07,+1.05342928700E-07
3.28065613123E-08,-5.40022409421E-08,+2.37188405059E-07
3.30066013203E-08,+1.40178870525E-07,+1.86263392211E-07
3.32066413283E-08,+2.09478287134E-07,+2.47061781813E-08
3.34066813363E-08,+1.38833161822E-07,-1.03724588030E-07
3.36067213443E-08,+2.67207330128E-08,-1.23834253237E-07
3.38067613523E-08,-3.55131952055E-08,-7.50573165231E-08
3.40068013603E-08,-4.49981066185E-08,-3.09366585965E-08
3.42068413683E-08,-4.83146980576E-08,-8.24589416171E-09
3.44068813763E-08,-5.67976919559E-08,+2.47395150078E-08
3.46069213843E-08,-3.58393241361E-08,+7.32247416481E-08
3.48069613923E-08,+2.66443917948E-08,+9.14464511173E-08
3.50070014003E-08,+7.99902407714E-08,+4.64030511923E-08
3.52070414083E-08,+6.53934322262E-08,-2.17658234959E-08
3.54070814163E-08,-3.03609472857E-09,-3.50887929879E-08
3.56071214243E-08,-4.28382567874E-08,+2.75916886845E-08
3.58071614323E-08,+2.96946606799E-09,+9.73853360414E-08
3.60072014403E-08,+9.64124038406E-08,+9.04007349036E-08
3.62072414483E-08,+1.44952985111E-07,+2.08806986921E-09
3.64072814563E-08,+1.01814715993E-07,-9.03477570786E-08
3.66073214643E-08,+8.13192108511E-09,-1.13395954163E-07
3.68073614723E-08,-6.18348627755E-08,-6.53257239984E-08
3.70074014803E-08,-7.52416017950E-08,+2.77910510306E-09
3.72074414883E-08,-5.09619984738E-08,+5.06030066153E-08
3.74074814963E-08,-1.57406704018E-08,+7.42635826326E-08
