Stimulus(Hz),S21(dB)
3.92730273027E+09,-7.82820284899E+01
3.92740274027E+09,-7.82824203630E+01
3.92750275028E+09,-7.82968193268E+01
3.92760276028E+09,-7.82812697231E+01
3.92770277028E+09,-7.82319798669E+01
3.92780278028E+09,-7.82240904869E+01
3.92790279028E+09,-7.82575788448E+01
3.92800280028E+09,-7.81882909144E+01
3.92810281028E+09,-7.81233957900E+01
3.92820282028E+09,-7.81297443689E+01
3.92830283028E+09,-7.81098896378E+01
3.92840284028E+09,-7.79712214564E+01
3.92850285029E+09,-7.80687467822E+01
3.92860286029E+09,-7.80416704256E+01
3.92870287029E+09,-7.79914320073E+01
3.92880288029E+09,-7.79446809858E+01
3.92890289029E+09,-7.80188505420E+01
3.92900290029E+09,-7.79722056549E+01
3.92910291029E+09,-7.79687771639E+01
3.92920292029E+09,-7.80404806417E+01
3.92930293029E+09,-7.80433399905E+01
3.92940294029E+09,-7.79941265652E+01
3.92950295030E+09,-7.80751108557E+01
3.92960296030E+09,-7.80958034660E+01
3.92970297030E+09,-7.81323626883E+01
3.92980298030E+09,-7.81544066792E+01
3.92990299030E+09,-7.82646861803E+01
3.93000300030E+09,-7.82956034647E+01
3.93010301030E+09,-7.82778062239E+01
3.93020302030E+09,-7.83386318089E+01
3.93030303030E+09,-7.84165884178E+01
3.93040304030E+09,-7.84200083981E+01
3.93050305031E+09,-7.83863760621E+01
3.93060306031E+09,-7.84374125928E+01
3.93070307031E+09,-7.84353648078E+01
3.93080308031E+09,-7.84419882795E+01
3.93090309031E+09,-7.84295305744E+01
3.93100310031E+09,-7.83629148174E+01
3.93110311031E+09,-7.83734527472E+01
3.93120312031E+09,-7.83035830805E+01
3.93130313031E+09,-7.83053117094E+01
3.93140314031E+09,-7.82623099590E+01
3.93150315032E+09,-7.81793357549E+01
3.93160316032E+09,-7.81139989632E+01
3.93170317032E+09,-7.81371953198E+01
3.93180318032E+09,-7.81235767007E+01
3.93190319032E+09,-7.79892028625E+01
3.93200320032E+09,-7.80132386210E+01
3.93210321032E+09,-7.80401172897E+01
3.93220322032E+09,-7.79960561291E+01
3.93230323032E+09,-7.79712632901E+01
3.93240324032E+09,-7.80319642010E+01
3.93250325033E+09,-7.79837475221E+01
3.93260326033E+09,-7.80439628341E+01
3.93270327033E+09,-7.81020287377E+01
3.93280328033E+09,-7.81092057299E+01
3.93290329033E+09,-7.81401042486E+01
3.93300330033E+09,-7.81875249453E+01
3.93310331033E+09,-7.82880332890E+01
3.93320332033E+09,-7.83005658160E+01
3.93330333033E+09,-7.83341728647E+01
3.93340334033E+09,-7.84198465675E+01
3.93350335034E+09,-7.84756495463E+01
3.93360336034E+09,-7.84085059873E+01
3.93370337034E+09,-7.85026227206E+01
3.93380338034E+09,-7.85587081184E+01
3.93390339034E+09,-7.84910203235E+01
3.93400340034E+09,-7.84961566016E+01
3.93410341034E+09,-7.86021084883E+01
3.93420342034E+09,-7.85388656678E+01
3.93430343034E+09,-7.84418165377E+01
3.93440344034E+09,-7.84329885552E+01
3.93450345035E+09,-7.83980845774E+01
3.93460346035E+09,-7.83139699223E+01
3.93470347035E+09,-7.82387399539E+01
3.93480348035E+09,-7.82224000326E+01
3.93490349035E+09,-7.81620108136E+01
3.93500350035E+09,-7.80873260150E+01
3.93510351035E+09,-7.81189799457E+01
3.93520352035E+09,-7.80193838009E+01
3.93530353035E+09,-7.80417218483E+01
3.93540354035E+09,-7.79680106851E+01
3.93550355036E+09,-7.80636623978E+01
3.93560356036E+09,-7.79911010093E+01
3.93570357036E+09,-7.79275728138E+01
3.93580358036E+09,-7.80432827572E+01
3.93590359036E+09,-7.80279322794E+01
3.93600360036E+09,-7.80702783636E+01
3.93610361036E+09,-7.80989367524E+01
3.93620362036E+09,-7.81809039401E+01
3.93630363036E+09,-7.81745455838E+01
3.93640364036E+09,-7.82826147286E+01
3.93650365037E+09,-7.83073078300E+01
3.93660366037E+09,-7.83386725862E+01
3.93670367037E+09,-7.83495712522E+01
3.93680368037E+09,-7.84288643655E+01
3.93690369037E+09,-7.85341786543E+01
3.93700370037E+09,-7.84964205485E+01
3.93710371037E+09,-7.85322497732E+01
3.93720372037E+09,-7.85274510279E+01
3.93730373037E+09,-7.85019579212E+01
3.93740374037E+09,-7.84582107458E+01
3.93750375038E+09,-7.84493618944E+01
3.93760376038E+09,-7.84931201743E+01
3.93770377038E+09,-7.84104651251E+01
3.93780378038E+09,-7.83215649263E+01
3.93790379038E+09,-7.83230705542E+01
3.93800380038E+09,-7.82618893306E+01
3.93810381038E+09,-7.82413182507E+01
3.93820382038E+09,-7.81491413294E+01
3.93830383038E+09,-7.81475907440E+01
3.93840384038E+09,-7.81148458289E+01
3.93850385039E+09,-7.80474743577E+01
3.93860386039E+09,-7.80378678395E+01
3.93870387039E+09,-7.80776516179E+01
3.93880388039E+09,-7.80070343796E+01
3.93890389039E+09,-7.80526227835E+01
3.93900390039E+09,-7.80459335257E+01
3.93910391039E+09,-7.80011360009E+01
3.93920392039E+09,-7.80578003369E+01
3.93930393039E+09,-7.81304141737E+01
3.93940394039E+09,-7.81371302325E+01
3.93950395040E+09,-7.81463769076E+01
3.93960396040E+09,-7.82278942121E+01
3.93970397040E+09,-7.83095971911E+01
3.93980398040E+09,-7.83712687346E+01
3.93990399040E+09,-7.83866656350E+01
3.94000400040E+09,-7.84558484537E+01
3.94010401040E+09,-7.84795227336E+01
3.94020402040E+09,-7.84824642207E+01
3.94030403040E+09,-7.85014471146E+01
3.94040404040E+09,-7.85734571876E+01
3.94050405041E+09,-7.85635071540E+01
3.94060406041E+09,-7.85408061706E+01
3.94070407041E+09,-7.85490033775E+01
3.94080408041E+09,-7.85577704649E+01
3.94090409041E+09,-7.84350212374E+01
3.94100410041E+09,-7.84490383118E+01
3.94110411041E+09,-7.84069907250E+01
3.94120412041E+09,-7.83606292663E+01
3.94130413041E+09,-7.82970314686E+01
3.94140414041E+09,-7.82967742396E+01
3.94150415042E+09,-7.82851598624E+01
3.94160416042E+09,-7.82070999119E+01
3.94170417042E+09,-7.81762212966E+01
3.94180418042E+09,-7.81296681454E+01
3.94190419042E+09,-7.81336705961E+01
3.94200420042E+09,-7.80401683276E+01
3.94210421042E+09,-7.80855015165E+01
3.94220422042E+09,-7.80964462387E+01
3.94230423042E+09,-7.80314280040E+01
3.94240424042E+09,-7.81126791725E+01
3.94250425043E+09,-7.82810219336E+01
3.94260426043E+09,-7.81764380650E+01
3.94270427043E+09,-7.81626504960E+01
3.94280428043E+09,-7.82292465681E+01
3.94290429043E+09,-7.82713360422E+01
3.94300430043E+09,-7.82782736972E+01
3.94310431043E+09,-7.83359658926E+01
3.94320432043E+09,-7.83783632280E+01
3.94330433043E+09,-7.84784451047E+01
3.94340434043E+09,-7.84443097393E+01
3.94350435044E+09,-7.84974910105E+01
3.94360436044E+09,-7.85315058427E+01
3.94370437044E+09,-7.85344972408E+01
3.94380438044E+09,-7.84760150108E+01
3.94390439044E+09,-7.85110030399E+01
3.94400440044E+09,-7.84779168987E+01
3.94410441044E+09,-7.84530189562E+01
3.94420442044E+09,-7.83835279641E+01
3.94430443044E+09,-7.84210687864E+01
3.94440444044E+09,-7.83550459738E+01
3.94450445045E+09,-7.83484368463E+01
3.94460446045E+09,-7.83650073499E+01
3.94470447045E+09,-7.82386310669E+01
3.94480448045E+09,-7.82256759982E+01
3.94490449045E+09,-7.82184178783E+01
3.94500450045E+09,-7.81865789709E+01
3.94510451045E+09,-7.81468453910E+01
3.94520452045E+09,-7.80975280145E+01
3.94530453045E+09,-7.82138452168E+01
3.94540454045E+09,-7.81128362595E+01
3.94550455046E+09,-7.80826793716E+01
3.94560456046E+09,-7.81531853678E+01
3.94570457046E+09,-7.81797625686E+01
3.94580458046E+09,-7.81414948017E+01
3.94590459046E+09,-7.81535839597E+01
3.94600460046E+09,-7.81947345818E+01
3.94610461046E+09,-7.82310349792E+01
3.94620462046E+09,-7.82692765603E+01
3.94630463046E+09,-7.83247614941E+01
3.94640464046E+09,-7.83826545344E+01
3.94650465047E+09,-7.83749021255E+01
3.94660466047E+09,-7.84152049638E+01
3.94670467047E+09,-7.84707929935E+01
3.94680468047E+09,-7.83530403395E+01
3.94690469047E+09,-7.83840627106E+01
3.94700470047E+09,-7.84346763548E+01
3.94710471047E+09,-7.84140539232E+01
3.94720472047E+09,-7.83984020268E+01
3.94730473047E+09,-7.83680513246E+01
3.94740474047E+09,-7.84060338211E+01
3.94750475048E+09,-7.83303523654E+01
3.94760476048E+09,-7.83274241768E+01
3.94770477048E+09,-7.83376908092E+01
3.94780478048E+09,-7.82599395273E+01
3.94790479048E+09,-7.82669183642E+01
3.94800480048E+09,-7.82401348236E+01
3.94810481048E+09,-7.82165407935E+01
3.94820482048E+09,-7.81405046042E+01
3.94830483048E+09,-7.81506216627E+01
3.94840484048E+09,-7.81803311439E+01
3.94850485049E+09,-7.81646135597E+01
3.94860486049E+09,-7.80948812102E+01
3.94870487049E+09,-7.81346295390E+01
3.94880488049E+09,-7.81339654808E+01
3.94890489049E+09,-7.81214432086E+01
3.94900490049E+09,-7.81128212124E+01
3.94910491049E+09,-7.81820536256E+01
3.94920492049E+09,-7.81950400825E+01
3.94930493049E+09,-7.81096086386E+01
3.94940494049E+09,-7.81794785239E+01
3.94950495050E+09,-7.82040244947E+01
3.94960496050E+09,-7.81776590273E+01
3.94970497050E+09,-7.82431723923E+01
3.94980498050E+09,-7.83187980496E+01
3.94990499050E+09,-7.83244080896E+01
3.95000500050E+09,-7.82779540371E+01
3.95010501050E+09,-7.83350639344E+01
3.95020502050E+09,-7.83084499817E+01
3.95030503050E+09,-7.82598928819E+01
3.95040504050E+09,-7.82333392550E+01
3.95050505051E+09,-7.83037764107E+01
3.95060506051E+09,-7.82733867431E+01
3.95070507051E+09,-7.81919291971E+01
3.95080508051E+09,-7.82989709770E+01
3.95090509051E+09,-7.82868820524E+01
3.95100510051E+09,-7.81405657253E+01
3.95110511051E+09,-7.81461896924E+01
3.95120512051E+09,-7.81816076557E+01
3.95130513051E+09,-7.81683440256E+01
3.95140514051E+09,-7.81221352345E+01
3.95150515052E+09,-7.80894752468E+01
3.95160516052E+09,-7.81304296981E+01
3.95170517052E+09,-7.80354944253E+01
3.95180518052E+09,-7.80213514602E+01
3.95190519052E+09,-7.81263567139E+01
3.95200520052E+09,-7.80551097573E+01
3.95210521052E+09,-7.80284825903E+01
3.95220522052E+09,-7.80890901388E+01
3.95230523052E+09,-7.80385050805E+01
3.95240524052E+09,-7.80664799415E+01
3.95250525053E+09,-7.80575822061E+01
3.95260526053E+09,-7.80919298749E+01
3.95270527053E+09,-7.80830532076E+01
3.95280528053E+09,-7.80686774477E+01
3.95290529053E+09,-7.80767566476E+01
3.95300530053E+09,-7.80905566106E+01
3.95310531053E+09,-7.80798882735E+01
3.95320532053E+09,-7.80593537911E+01
3.95330533053E+09,-7.81314123689E+01
3.95340534053E+09,-7.81011783076E+01
3.95350535054E+09,-7.80680548824E+01
3.95360536054E+09,-7.81142267227E+01
3.95370537054E+09,-7.80797354529E+01
3.95380538054E+09,-7.80282130835E+01
3.95390539054E+09,-7.80351713987E+01
3.95400540054E+09,-7.80641254893E+01
3.95410541054E+09,-7.79842796124E+01
3.95420542054E+09,-7.79845411792E+01
3.95430543054E+09,-7.80454253199E+01
3.95440544054E+09,-7.79812200323E+01
3.95450545055E+09,-7.79615575744E+01
3.95460546055E+09,-7.79800110344E+01
3.95470547055E+09,-7.79573631956E+01
3.95480548055E+09,-7.79390654611E+01
3.95490549055E+09,-7.79451710855E+01
3.95500550055E+09,-7.79579632674E+01
3.95510551055E+09,-7.79514723992E+01
3.95520552055E+09,-7.78802510910E+01
3.95530553055E+09,-7.79551849920E+01
3.95540554055E+09,-7.79481993687E+01
3.95550555056E+09,-7.78803010466E+01
3.95560556056E+09,-7.78832756010E+01
3.95570557056E+09,-7.79011100044E+01
3.95580558056E+09,-7.79764959176E+01
3.95590559056E+09,-7.78732884239E+01
3.95600560056E+09,-7.79329460563E+01
3.95610561056E+09,-7.79387813268E+01
3.95620562056E+09,-7.78889025025E+01
3.95630563056E+09,-7.78333646615E+01
3.95640564056E+09,-7.78676083863E+01
3.95650565057E+09,-7.78552515450E+01
3.95660566057E+09,-7.78945151195E+01
3.95670567057E+09,-7.78691896061E+01
3.95680568057E+09,-7.78591429733E+01
3.95690569057E+09,-7.78754815858E+01
