Stimulus(s),S21(Real)
2.62040204020E-07,-1.23555697975E-08
2.62048204820E-07,-1.58039818040E-08
2.62056205621E-07,-1.84943705276E-08
2.62064206421E-07,-2.02854376243E-08
2.62072207221E-07,-2.10804443068E-08
2.62080208021E-07,-2.08323641457E-08
2.62088208821E-07,-1.95465146024E-08
2.62096209621E-07,-1.72805256254E-08
2.62104210421E-07,-1.41416409397E-08
2.62112211221E-07,-1.02814851832E-08
2.62120212021E-07,-5.88856062510E-09
2.62128212821E-07,-1.17885405096E-09
2.62136213621E-07,+3.61496852751E-09
2.62144214421E-07,+8.25522939059E-09
2.62152215222E-07,+1.25111750828E-08
2.62160216022E-07,+1.61705738977E-08
2.62168216822E-07,+1.90503860083E-08
2.62176217622E-07,+2.10059656491E-08
2.62184218422E-07,+2.19383306221E-08
2.62192219222E-07,+2.17991338343E-08
2.62200220022E-07,+2.05930893473E-08
2.62208220822E-07,+1.83777353971E-08
2.62216221622E-07,+1.52605522687E-08
2.62224222422E-07,+1.13935868264E-08
2.62232223222E-07,+6.96586104016E-09
2.62240224022E-07,+2.19395263998E-09
2.62248224822E-07,-2.68877348026E-09
2.62256225623E-07,-7.44373880447E-09
2.62264226423E-07,-1.18389476485E-08
2.62272227223E-07,-1.56604164476E-08
2.62280228023E-07,-1.87226676066E-08
2.62288228823E-07,-2.08777699569E-08
2.62296229623E-07,-2.20224838928E-08
2.62304230423E-07,-2.21031669274E-08
2.62312231223E-07,-2.11182095804E-08
2.62320232023E-07,-1.91178962635E-08
2.62328232823E-07,-1.62017147764E-08
2.62336233623E-07,-1.25132646270E-08
2.62344234423E-07,-8.23303231118E-09
2.62352235224E-07,-3.56940510513E-09
2.62360236024E-07,+1.25162119210E-09
2.62368236824E-07,+5.99752473344E-09
2.62376237624E-07,+1.04405803338E-08
2.62384238424E-07,+1.43688659015E-08
2.62392239224E-07,+1.75964171511E-08
2.62400240024E-07,+1.99720424292E-08
2.62408240824E-07,+2.13863802732E-08
2.62416241624E-07,+2.17768727943E-08
2.62424242424E-07,+2.11304333948E-08
2.62432243224E-07,+1.94837022776E-08
2.62440244024E-07,+1.69209018802E-08
2.62448244824E-07,+1.35694208815E-08
2.62456245625E-07,+9.59336409538E-09
2.62464246425E-07,+5.18540118367E-09
2.62472247225E-07,+5.57325215609E-10
2.62480248025E-07,-4.07021085069E-09
2.62488248825E-07,-8.47827813042E-09
2.62496249625E-07,-1.24600657515E-08
2.62504250425E-07,-1.58305902137E-08
2.62512251225E-07,-1.84352650711E-08
2.62520252025E-07,-2.01569365356E-08
2.62528252825E-07,-2.09210692424E-08
2.62536253625E-07,-2.06988589006E-08
2.62544254425E-07,-1.95081502061E-08
2.62552255226E-07,-1.74121441840E-08
2.62560256026E-07,-1.45159839409E-08
2.62568256826E-07,-1.09614066795E-08
2.62576257626E-07,-6.91973817603E-09
2.62584258426E-07,-2.58357978106E-09
2.62592259226E-07,+1.84240584268E-09
2.62600260026E-07,+6.15116787001E-09
2.62608260826E-07,+1.01429421202E-08
2.62616261626E-07,+1.36344770140E-08
2.62624262426E-07,+1.64673877401E-08
2.62632263226E-07,+1.85152624094E-08
2.62640264026E-07,+1.96892072976E-08
2.62648264826E-07,+1.99415949627E-08
2.62656265627E-07,+1.92678652669E-08
2.62664266427E-07,+1.77063209989E-08
2.62672267227E-07,+1.53359525760E-08
2.62680268027E-07,+1.22724159679E-08
2.62688268827E-07,+8.66237049990E-09
2.62696269627E-07,+4.67645498149E-09
2.62704270427E-07,+5.01238625360E-10
2.62712271227E-07,-3.66947487582E-09
2.62720272027E-07,-7.64358753008E-09
2.62728272827E-07,-1.12394831325E-08
2.62736273627E-07,-1.42942435064E-08
2.62744274427E-07,-1.66709392369E-08
2.62752275228E-07,-1.82646751753E-08
2.62760276028E-07,-1.90071305045E-08
2.62768276828E-07,-1.88694033877E-08
2.62776277628E-07,-1.78630479541E-08
2.62784278428E-07,-1.60392730748E-08
2.62792279228E-07,-1.34863544602E-08
2.62800280028E-07,-1.03253904792E-08
2.62808280828E-07,-6.70460440881E-09
2.62816281628E-07,-2.79245850976E-09
2.62824282428E-07,+1.23010417663E-09
2.62832283228E-07,+5.17793816121E-09
2.62840284028E-07,+8.87012120929E-09
2.62848284828E-07,+1.21381504329E-08
2.62856285629E-07,+1.48335440070E-08
2.62864286429E-07,+1.68345117512E-08
2.62872287229E-07,+1.80514003191E-08
2.62880288029E-07,+1.84306738481E-08
2.62888288829E-07,+1.79572562298E-08
2.62896289629E-07,+1.66551338513E-08
2.62904290429E-07,+1.45861946102E-08
2.62912291229E-07,+1.18473569321E-08
2.62920292029E-07,+8.56611808868E-09
2.62928292829E-07,+4.89472109433E-09
2.62936293629E-07,+1.00320084339E-09
2.62944294429E-07,-2.92837972258E-09
2.62952295230E-07,-6.71815594716E-09
2.62960296030E-07,-1.01907812410E-08
2.62968296830E-07,-1.31854657931E-08
2.62976297630E-07,-1.55633706816E-08
2.62984298430E-07,-1.72140209519E-08
2.62992299230E-07,-1.80604433866E-08
2.63000300030E-07,-1.80627902136E-08
2.63008300830E-07,-1.72202765797E-08
2.63016301630E-07,-1.55713344555E-08
2.63024302430E-07,-1.31919655211E-08
2.63032303230E-07,-1.01923570350E-08
2.63040304030E-07,-6.71190411667E-09
2.63048304830E-07,-2.91285568496E-09
2.63056305631E-07,+1.02713387174E-09
2.63064306431E-07,+4.92321243361E-09
2.63072307231E-07,+8.59192425153E-09
2.63080308031E-07,+1.18597957513E-08
2.63088308831E-07,+1.45715145712E-08
2.63096309631E-07,+1.65973178360E-08
2.63104310431E-07,+1.78392380597E-08
2.63112311231E-07,+1.82359041851E-08
2.63120312031E-07,+1.77656591347E-08
2.63128312831E-07,+1.64478311472E-08
2.63136313631E-07,+1.43420807908E-08
2.63144314431E-07,+1.15458350734E-08
2.63152315232E-07,+8.18991039593E-09
2.63160316032E-07,+4.43251298353E-09
2.63168316832E-07,+4.51884705519E-10
2.63176317632E-07,-3.56207003309E-09
2.63184318432E-07,-7.41678781318E-09
2.63192319232E-07,-1.09262565217E-08
2.63200320032E-07,-1.39199934904E-08
2.63208320832E-07,-1.62513579363E-08
2.63216321632E-07,-1.78047905943E-08
2.63224322432E-07,-1.85016198797E-08
2.63232323232E-07,-1.83041385174E-08
2.63240324032E-07,-1.72177345092E-08
2.63248324832E-07,-1.52909519537E-08
2.63256325633E-07,-1.26134563210E-08
2.63264326433E-07,-9.31198059023E-09
2.63272327233E-07,-5.54442823177E-09
2.63280328033E-07,-1.49240142824E-09
2.63288328833E-07,+2.64749650901E-09
2.63296329633E-07,+6.67317102365E-09
2.63304330433E-07,+1.03868999334E-08
2.63312331233E-07,+1.36050691890E-08
2.63320332033E-07,+1.61672996837E-08
2.63328332833E-07,+1.79445084064E-08
2.63336333633E-07,+1.88454946532E-08
2.63344334433E-07,+1.88217104522E-08
2.63352335234E-07,+1.78699607008E-08
2.63360336034E-07,+1.60328787108E-08
2.63368336834E-07,+1.33971320546E-08
2.63376337634E-07,+1.00894264538E-08
2.63384338434E-07,+6.27048629915E-09
2.63392339234E-07,+2.12729362652E-09
2.63400340034E-07,-2.13604234218E-09
2.63408340834E-07,-6.30834038108E-09
2.63416341634E-07,-1.01818314585E-08
2.63424342434E-07,-1.35625497134E-08
2.63432343234E-07,-1.62801075744E-08
2.63440344034E-07,-1.81963584525E-08
2.63448344834E-07,-1.92125019713E-08
2.63456345635E-07,-1.92742613659E-08
2.63464346435E-07,-1.83748569333E-08
2.63472347235E-07,-1.65556086661E-08
2.63480348035E-07,-1.39041200112E-08
2.63488348835E-07,-1.05501170887E-08
2.63496349635E-07,-6.65913744478E-09
2.63504350435E-07,-2.42437331609E-09
2.63512351235E-07,+1.94292931874E-09
2.63520352035E-07,+6.22403804399E-09
2.63528352835E-07,+1.02037370565E-08
2.63536353635E-07,+1.36812093667E-08
2.63544354435E-07,+1.64802439172E-08
2.63552355236E-07,+1.84582442163E-08
2.63560356036E-07,+1.95135730218E-08
2.63568356836E-07,+1.95908498928E-08
2.63576357636E-07,+1.86839209796E-08
2.63584358436E-07,+1.68363380997E-08
2.63592359236E-07,+1.41393109658E-08
2.63600360036E-07,+1.07272258872E-08
2.63608360836E-07,+6.77094966598E-09
2.63616361636E-07,+2.46925223192E-09
2.63624362436E-07,-1.96122023046E-09
2.63632363236E-07,-6.29691349095E-09
2.63640364036E-07,-1.03187161299E-08
2.63648364836E-07,-1.38231124871E-08
2.63656365637E-07,-1.66325652252E-08
2.63664366437E-07,-1.86045927688E-08
2.63672367237E-07,-1.96390724594E-08
2.63680368037E-07,-1.96833903792E-08
2.63688368837E-07,-1.87351688674E-08
2.63696369637E-07,-1.68424270988E-08
2.63704370437E-07,-1.41011623067E-08
2.63712371237E-07,-1.06504724212E-08
2.63720372037E-07,-6.66546813194E-09
2.63728372837E-07,-2.34833700251E-09
2.63736373637E-07,+2.08198174236E-09
2.63744374437E-07,+6.40098082668E-09
2.63752375238E-07,+1.03900511927E-08
2.63760376038E-07,+1.38476402741E-08
2.63768376838E-07,+1.65995274113E-08
2.63776377638E-07,+1.85076872532E-08
2.63784378438E-07,+1.94772852550E-08
2.63792379238E-07,+1.94614463715E-08
2.63800380038E-07,+1.84635537056E-08
2.63808380838E-07,+1.65369621408E-08
2.63816381638E-07,+1.37821461462E-08
