Stimulus(s),S21(Real),S21(Imag)
3.31033103310E-08,-6.74054957698E-08,+1.43366508082E-07
3.32033203320E-08,-2.28584736621E-08,-1.61545164430E-07
3.33033303330E-08,+1.14951775127E-07,+1.27774859518E-07
3.34033403340E-08,-1.80118085405E-07,-4.62972167466E-08
3.35033503350E-08,+1.95129590311E-07,-6.33503012480E-08
3.36033603360E-08,-1.50044447593E-07,+1.71215366656E-07
3.37033703370E-08,+5.22592588736E-08,-2.45494681365E-07
3.38033803380E-08,+7.47077486387E-08,+2.62197846493E-07
3.39033903390E-08,-1.97571612616E-07,-2.12811780985E-07
3.40034003400E-08,+2.82909220473E-07,+1.07405765259E-07
3.41034103410E-08,-3.07048212192E-07,+2.79367057465E-08
3.42034203420E-08,+2.63065298627E-07,-1.58610692234E-07
3.43034303430E-08,-1.62681896734E-07,+2.51534171543E-07
3.44034403440E-08,+3.25324617312E-08,-2.84557859280E-07
3.45034503450E-08,+9.38813987001E-08,+2.52329764597E-07
3.46034603460E-08,-1.85893524216E-07,-1.66947625655E-07
3.47034703470E-08,+2.23972495982E-07,+5.34801270972E-08
3.48034803480E-08,-2.04191015408E-07,+5.79367833184E-08
3.49034903490E-08,+1.37828394307E-07,-1.40769067700E-07
3.50035003500E-08,-4.66852315593E-08,+1.78854930114E-07
3.51035103510E-08,-4.40368609430E-08,-1.69474384649E-07
3.52035203520E-08,+1.12902240492E-07,+1.22266563758E-07
3.53035303530E-08,-1.47364405346E-07,-5.48706109984E-08
3.54035403540E-08,+1.45676401251E-07,-1.29714130250E-08
3.55035503550E-08,-1.15565233030E-07,+6.49319701571E-08
3.56035603560E-08,+7.05998631417E-08,-9.17678719500E-08
3.57035703570E-08,-2.56646931735E-08,+9.24874269388E-08
3.58035803580E-08,-7.09628414306E-09,-7.31941194442E-08
3.59035903590E-08,+2.09344866251E-08,+4.43670376555E-08
3.60036003600E-08,-1.54005113448E-08,-1.75492360867E-08
3.61036103610E-08,-4.35546396541E-09,+2.30517085064E-09
3.62036203620E-08,+2.94440118339E-08,-4.02754999036E-09
3.63036303630E-08,-4.97206708261E-08,+2.28788740064E-08
3.64036403640E-08,+5.63796845185E-08,-5.39313539331E-08
3.65036503650E-08,-4.41922995772E-08,+8.84189653126E-08
3.66036603660E-08,+1.29662431408E-08,-1.15881300846E-07
3.67036703670E-08,+3.21288076973E-08,+1.26814895567E-07
3.68036803680E-08,-8.15637752022E-08,-1.15269410059E-07
3.69036903690E-08,+1.23685639803E-07,+8.07165728525E-08
3.70037003700E-08,-1.47719483229E-07,-2.85852813559E-08
3.71037103710E-08,+1.46746506375E-07,-3.08450218945E-08
3.72037203720E-08,-1.19750133034E-07,+8.50149196198E-08
3.73037303730E-08,+7.20198323332E-08,-1.22425960887E-07
3.74037403740E-08,-1.36987837018E-08,+1.35724112854E-07
3.75037503750E-08,-4.31007185046E-08,-1.23515751494E-07
3.76037603760E-08,+8.76586873487E-08,+9.03153281089E-08
3.77037703770E-08,-1.13337797358E-07,-4.46936352690E-08
3.78037803780E-08,+1.18708932882E-07,-3.63409315577E-09
3.79037903790E-08,-1.06838412820E-07,+4.66533824841E-08
3.80038003800E-08,+8.32011114249E-08,-7.97755844349E-08
3.81038103810E-08,-5.32231315101E-08,+1.01907703209E-07
3.82038203820E-08,+2.05556470331E-08,-1.14078515442E-07
3.83038303830E-08,+1.32165377800E-08,+1.17477485695E-07
3.84038403840E-08,-4.74523114002E-08,-1.12008241523E-07
3.85038503850E-08,+8.06600225840E-08,+9.61773644956E-08
3.86038603860E-08,-1.09151192290E-07,-6.84449829682E-08
3.87038703870E-08,+1.27095055810E-07,+2.93694102831E-08
3.88038803880E-08,-1.28263543868E-07,+1.66372799328E-08
3.89038903890E-08,+1.08881687986E-07,-6.10910186956E-08
3.90039003900E-08,-7.03181743820E-08,+9.32880079925E-08
3.91039103910E-08,+2.02099979516E-08,-1.03806493914E-07
3.92039203920E-08,+2.88658471439E-08,+8.83633470004E-08
3.93039303930E-08,-6.30579188635E-08,-5.03544804916E-08
3.94039403940E-08,+7.20536692430E-08,+7.52814672074E-10
3.95039503950E-08,-5.31857619121E-08,+4.49820050284E-08
3.96039603960E-08,+1.30545094808E-08,-7.20886637933E-08
3.97039703970E-08,+3.42574386138E-08,+7.19133707977E-08
3.98039803980E-08,-7.19791611297E-08,-4.54018036098E-08
3.99039903990E-08,+8.67918459890E-08,+3.13711878704E-09
4.00040004000E-08,-7.39862400123E-08,+3.83275481570E-08
4.01040104010E-08,+3.95528871525E-08,-6.26227064178E-08
4.02040204020E-08,+1.77382825753E-09,+5.99240356140E-08
4.03040304030E-08,-3.19430370618E-08,-3.10504518591E-08
4.04040404040E-08,+3.65222301043E-08,-1.23861578766E-08
4.05040504050E-08,-1.05171378904E-08,+5.19820141646E-08
4.06040604060E-08,-3.91900383387E-08,-6.92919995046E-08
4.07040704070E-08,+9.58011476754E-08,+5.28383614024E-08
4.08040804080E-08,-1.38316358743E-07,-2.74771314010E-09
4.09040904090E-08,+1.48932115234E-07,-6.87398215589E-08
4.10041004100E-08,-1.19420435889E-07,+1.41100962999E-07
4.11041104110E-08,+5.41864010730E-08,-1.92299899068E-07
4.12041204120E-08,+3.10393058049E-08,+2.06045065699E-07
4.13041304130E-08,-1.14299715299E-07,-1.76970310264E-07
4.14041404140E-08,+1.74386709621E-07,+1.12027906742E-07
4.15041504150E-08,-1.97206141360E-07,-2.78230901778E-08
4.16041604160E-08,+1.79426822393E-07,-5.49237957451E-08
4.17041704170E-08,-1.28433715627E-07,+1.17684466042E-07
4.18041804180E-08,+5.89972093187E-08,-1.49027935910E-07
4.19041904190E-08,+1.18246900514E-08,+1.46689051948E-07
4.20042004200E-08,-6.96119874962E-08,-1.16549744333E-07
4.21042104210E-08,+1.05748723935E-07,+6.94113024029E-08
4.22042204220E-08,-1.18142066194E-07,-1.70760073802E-08
4.23042304230E-08,+1.09831093985E-07,-3.07842967189E-08
4.24042404240E-08,-8.65404983967E-08,+6.81088208845E-08
4.25042504250E-08,+5.43943935471E-08,-9.22658006270E-08
4.26042604260E-08,-1.86210516411E-08,+1.02889175172E-07
4.27042704270E-08,-1.65993722910E-08,-1.00668337600E-07
4.28042804280E-08,+4.76119752787E-08,+8.67861424592E-08
4.29042904290E-08,-7.08301619555E-08,-6.31491867546E-08
4.30043004300E-08,+8.29164081058E-08,+3.30013750462E-08
4.31043104310E-08,-8.16874919452E-08,-1.24228323305E-09
4.32043204320E-08,+6.73049714779E-08,-2.60876060999E-08
4.33043304330E-08,-4.30278005942E-08,+4.32270387672E-08
