Stimulus(Hz),S11(dB)
2.06199771998E+07,-6.39373430822E-02
2.07099770998E+07,-6.72809757219E-02
2.07999769998E+07,-6.46406355521E-02
2.08899768998E+07,-6.31775880846E-02
2.09799767998E+07,-6.72485170591E-02
2.10699766998E+07,-6.73658788730E-02
2.11599765998E+07,-6.39292930395E-02
2.12499764998E+07,-6.61473594328E-02
2.13399763998E+07,-6.92372136109E-02
2.14299762998E+07,-6.62048565087E-02
2.15199761998E+07,-6.47624209427E-02
2.16099760998E+07,-6.91414931223E-02
2.16999759998E+07,-6.90546720921E-02
2.17899758998E+07,-6.54743994540E-02
2.18799757998E+07,-6.76863764883E-02
2.19699756998E+07,-7.08610562084E-02
2.20599755998E+07,-6.76798050173E-02
2.21499754998E+07,-6.63346981327E-02
2.22399753998E+07,-7.09356226312E-02
2.23299752998E+07,-7.07511910442E-02
2.24199751998E+07,-6.69092512723E-02
2.25099750998E+07,-6.95908165485E-02
2.25999749997E+07,-7.25591577640E-02
2.26899748997E+07,-6.93095897701E-02
2.27799747997E+07,-6.79318912192E-02
2.28699746997E+07,-7.27433616231E-02
2.29599745997E+07,-7.23877988933E-02
2.30499744997E+07,-6.84403664151E-02
2.31399743997E+07,-7.11733894751E-02
2.32299742997E+07,-7.43437914093E-02
2.33199741997E+07,-7.05399146674E-02
2.34099740997E+07,-6.96217396110E-02
2.34999739997E+07,-7.42224121973E-02
2.35899738997E+07,-7.36682968334E-02
2.36799737997E+07,-6.97382167783E-02
2.37699736997E+07,-7.27626661857E-02
2.38599735997E+07,-7.59882513342E-02
2.39499734997E+07,-7.21567405475E-02
2.40399733997E+07,-7.11573112255E-02
2.41299732997E+07,-7.62555254453E-02
2.42199731997E+07,-7.52800155688E-02
2.43099730997E+07,-7.10997793730E-02
2.43999729997E+07,-7.44085900609E-02
2.44899728997E+07,-7.75580193755E-02
2.45799727997E+07,-7.32620419947E-02
2.46699726997E+07,-7.25466792326E-02
2.47599725997E+07,-7.76659714488E-02
2.48499724997E+07,-7.65852315332E-02
2.49399723997E+07,-7.24710239074E-02
2.50299722997E+07,-7.58268075910E-02
2.51199721997E+07,-7.88141978105E-02
2.52099720997E+07,-7.42195691369E-02
2.52999719997E+07,-7.40427362992E-02
2.53899718997E+07,-7.91332340914E-02
2.54799717997E+07,-7.76239736029E-02
2.55699716997E+07,-7.34217941557E-02
2.56599715997E+07,-7.74203450237E-02
2.57499714997E+07,-8.02983009775E-02
2.58399713997E+07,-7.54340012536E-02
2.59299712997E+07,-7.54024268958E-02
2.60199711997E+07,-8.08581394305E-02
2.61099710997E+07,-7.92338886516E-02
2.61999709997E+07,-7.46999518547E-02
2.62899708997E+07,-7.89773550422E-02
2.63799707997E+07,-8.16325780794E-02
2.64699706997E+07,-7.67463466586E-02
2.65599705997E+07,-7.68282335523E-02
2.66499704997E+07,-8.24143479874E-02
2.67399703997E+07,-8.04005708105E-02
2.68299702997E+07,-7.62667891590E-02
2.69199701997E+07,-8.08001950504E-02
2.70099700997E+07,-8.32878182481E-02
2.70999699997E+07,-7.83564329030E-02
2.71899698997E+07,-7.83831770052E-02
2.72799697997E+07,-8.39888059074E-02
2.73699696997E+07,-8.17886343874E-02
2.74599695997E+07,-7.76582976323E-02
2.75499694997E+07,-8.24925754545E-02
2.76399693997E+07,-8.48053843445E-02
2.77299692997E+07,-7.96169840781E-02
2.78199691997E+07,-8.00884798110E-02
2.79099690997E+07,-8.58077743557E-02
2.79999689997E+07,-8.32485257540E-02
2.80899688997E+07,-7.89507022639E-02
2.81799687997E+07,-8.42967076761E-02
2.82699686997E+07,-8.64225410183E-02
2.83599685997E+07,-8.08154503089E-02
2.84499684997E+07,-8.15962876182E-02
2.85399683997E+07,-8.74573394884E-02
2.86299682997E+07,-8.46203418157E-02
2.87199681997E+07,-8.02891366050E-02
2.88099680997E+07,-8.60742659203E-02
2.88999679997E+07,-8.79035737724E-02
2.89899678997E+07,-8.21695656070E-02
2.90799677997E+07,-8.32046086852E-02
2.91699676997E+07,-8.92381834248E-02
2.92599675997E+07,-8.62250639122E-02
2.93499674997E+07,-8.20610991459E-02
2.94399673997E+07,-8.77094001203E-02
2.95299672997E+07,-8.95919287667E-02
2.96199671997E+07,-8.34487187441E-02
2.97099670997E+07,-8.50058192495E-02
2.97999669997E+07,-9.08604856095E-02
2.98899668997E+07,-8.73111895645E-02
2.99799667997E+07,-8.35695852270E-02
3.00699666997E+07,-8.78627271312E-02
3.01599665997E+07,-8.95676579599E-02
3.02499664997E+07,-8.32877379802E-02
3.03399663997E+07,-8.50848055308E-02
3.04299662997E+07,-9.10857747536E-02
3.05199661997E+07,-8.71160900067E-02
3.06099660997E+07,-8.32640556715E-02
3.06999659997E+07,-8.97627951493E-02
3.07899658997E+07,-9.08316330890E-02
3.08799657997E+07,-8.45414638799E-02
3.09699656997E+07,-8.68926632440E-02
3.10599655997E+07,-9.28051461456E-02
3.11499654997E+07,-8.84286350830E-02
3.12399653997E+07,-8.48796224076E-02
3.13299652997E+07,-9.16222905895E-02
3.14199651997E+07,-9.24831987692E-02
3.15099650997E+07,-8.57488696646E-02
3.15999649996E+07,-8.83997301721E-02
3.16899648996E+07,-9.43429970692E-02
3.17799647996E+07,-9.14847634746E-02
3.18699646996E+07,-8.79593739393E-02
3.19599645996E+07,-9.48890153742E-02
3.20499644996E+07,-9.55062511730E-02
3.21399643996E+07,-8.87258901147E-02
3.22299642996E+07,-9.18500021862E-02
3.23199641996E+07,-9.78217533169E-02
3.24099640996E+07,-9.28559781509E-02
3.24999639996E+07,-8.94340172688E-02
3.25899638996E+07,-9.64669094515E-02
3.26799637996E+07,-9.71851924460E-02
3.27699636996E+07,-9.03741992917E-02
3.28599635996E+07,-9.36170438158E-02
3.29499634996E+07,-9.92758442755E-02
3.30399633996E+07,-9.41072547944E-02
3.31299632996E+07,-9.11033327400E-02
3.32199631996E+07,-9.85696431690E-02
3.33099630996E+07,-9.87172840119E-02
3.33999629996E+07,-9.18413493189E-02
3.34899628996E+07,-9.56012740597E-02
3.35799627996E+07,-1.01203888774E-01
3.36699626996E+07,-9.56065451665E-02
3.37599625996E+07,-9.29659186229E-02
3.38499624996E+07,-1.00484023696E-01
3.39399623996E+07,-1.00334602279E-01
3.40299622996E+07,-9.30865591541E-02
3.41199621996E+07,-9.74700692304E-02
3.42099620996E+07,-1.03212530452E-01
3.42999619996E+07,-9.70806629706E-02
3.43899618996E+07,-9.45646644346E-02
3.44799617996E+07,-1.02299061865E-01
