Stimulus(s),S21(dB)
1.75017501750E-08,-1.35308583049E+02
1.76017601760E-08,-1.36337374060E+02
1.77017701770E-08,-1.37260814176E+02
1.78017801780E-08,-1.37956835487E+02
1.79017901790E-08,-1.38300478592E+02
1.80018001800E-08,-1.38207601960E+02
1.81018101810E-08,-1.37678428985E+02
1.82018201820E-08,-1.36809518350E+02
1.83018301830E-08,-1.35757127709E+02
1.84018401840E-08,-1.34680341917E+02
1.85018501850E-08,-1.33705542564E+02
1.86018601860E-08,-1.32921011220E+02
1.87018701870E-08,-1.32387143935E+02
1.88018801880E-08,-1.32149496265E+02
1.89018901890E-08,-1.32249806738E+02
1.90019001900E-08,-1.32734014758E+02
1.91019101910E-08,-1.33654519134E+02
1.92019201920E-08,-1.35049291035E+02
1.93019301930E-08,-1.36815504332E+02
1.94019401940E-08,-1.38252159592E+02
1.95019501950E-08,-1.37909254613E+02
1.96019601960E-08,-1.35912031580E+02
1.97019701970E-08,-1.33697813130E+02
1.98019801980E-08,-1.31869267695E+02
1.99019901990E-08,-1.30496292754E+02
2.00020002000E-08,-1.29531792716E+02
2.01020102010E-08,-1.28919463478E+02
2.02020202020E-08,-1.28611385581E+02
2.03020302030E-08,-1.28566883960E+02
2.04020402040E-08,-1.28747963267E+02
2.05020502050E-08,-1.29114200572E+02
2.06020602060E-08,-1.29617653981E+02
2.07020702070E-08,-1.30198531666E+02
2.08020802080E-08,-1.30783534477E+02
2.09020902090E-08,-1.31290101614E+02
2.10021002100E-08,-1.31639345567E+02
2.11021102110E-08,-1.31775890589E+02
2.12021202120E-08,-1.31685628092E+02
2.13021302130E-08,-1.31400421290E+02
2.14021402140E-08,-1.30987003896E+02
2.15021502150E-08,-1.30527976298E+02
2.16021602160E-08,-1.30105327876E+02
2.17021702170E-08,-1.29791760952E+02
2.18021802180E-08,-1.29649454503E+02
2.19021902190E-08,-1.29733692866E+02
2.20022002200E-08,-1.30099337580E+02
2.21022102210E-08,-1.30809679440E+02
2.22022202220E-08,-1.31948753704E+02
2.23022302230E-08,-1.33638129829E+02
2.24022402240E-08,-1.36042583640E+02
2.25022502250E-08,-1.39172386143E+02
2.26022602260E-08,-1.41298082123E+02
2.27022702270E-08,-1.39306840611E+02
2.28022802280E-08,-1.36163967632E+02
2.29022902290E-08,-1.33722409318E+02
2.30023002300E-08,-1.31987633703E+02
2.31023102310E-08,-1.30784332097E+02
2.32023202320E-08,-1.29974418246E+02
2.33023302330E-08,-1.29451724760E+02
2.34023402340E-08,-1.29125037968E+02
2.35023502350E-08,-1.28909458320E+02
2.36023602360E-08,-1.28728171947E+02
2.37023702370E-08,-1.28523398371E+02
2.38023802380E-08,-1.28269216372E+02
2.39023902390E-08,-1.27975110639E+02
2.40024002400E-08,-1.27675733755E+02
2.41024102410E-08,-1.27413988353E+02
2.42024202420E-08,-1.27227463199E+02
2.43024302430E-08,-1.27142132235E+02
2.44024402440E-08,-1.27171523389E+02
2.45024502450E-08,-1.27318286846E+02
2.46024602460E-08,-1.27576197765E+02
2.47024702470E-08,-1.27931864758E+02
2.48024802480E-08,-1.28366089830E+02
2.49024902490E-08,-1.28855018789E+02
2.50025002500E-08,-1.29371145344E+02
2.51025102510E-08,-1.29884115713E+02
2.52025202520E-08,-1.30361405633E+02
2.53025302530E-08,-1.30769494541E+02
2.54025402540E-08,-1.31076801464E+02
2.55025502550E-08,-1.31259265477E+02
2.56025602560E-08,-1.31307163647E+02
2.57025702570E-08,-1.31229042740E+02
2.58025802580E-08,-1.31049119727E+02
2.59025902590E-08,-1.30798959422E+02
2.60026002600E-08,-1.30508167578E+02
2.61026102610E-08,-1.30198508531E+02
2.62026202620E-08,-1.29882860005E+02
2.63026302630E-08,-1.29567956194E+02
2.64026402640E-08,-1.29258889364E+02
2.65026502650E-08,-1.28963290750E+02
2.66026602660E-08,-1.28693637043E+02
2.67026702670E-08,-1.28467142408E+02
2.68026802680E-08,-1.28303798515E+02
2.69026902690E-08,-1.28223703088E+02
2.70027002700E-08,-1.28244655736E+02
2.71027102710E-08,-1.28380439625E+02
2.72027202720E-08,-1.28639713534E+02
2.73027302730E-08,-1.29025229816E+02
2.74027402740E-08,-1.29533153611E+02
2.75027502750E-08,-1.30152506269E+02
2.76027602760E-08,-1.30865119562E+02
2.77027702770E-08,-1.31646818768E+02
2.78027802780E-08,-1.32470462024E+02
2.79027902790E-08,-1.33310373861E+02
2.80028002800E-08,-1.34145581323E+02
2.81028102810E-08,-1.34957631308E+02
2.82028202820E-08,-1.35720350908E+02
2.83028302830E-08,-1.36385449859E+02
2.84028402840E-08,-1.36878542614E+02
2.85028502850E-08,-1.37126072290E+02
2.86028602860E-08,-1.37110455312E+02
2.87028702870E-08,-1.36903042503E+02
2.88028802880E-08,-1.36635183735E+02
2.89028902890E-08,-1.36442986029E+02
2.90029002900E-08,-1.36436988105E+02
2.91029102910E-08,-1.36702721110E+02
2.92029202920E-08,-1.37315946148E+02
2.93029302930E-08,-1.38363697336E+02
2.94029402940E-08,-1.39975510821E+02
2.95029502950E-08,-1.42389525349E+02
2.96029602960E-08,-1.46156758119E+02
2.97029702970E-08,-1.53209576126E+02
2.98029802980E-08,-1.66228435277E+02
2.99029902990E-08,-1.51018884061E+02
3.00030003000E-08,-1.46455714609E+02
3.01030103010E-08,-1.44134176268E+02
3.02030203020E-08,-1.42884739786E+02
3.03030303030E-08,-1.42246102969E+02
3.04030403040E-08,-1.41891319925E+02
3.05030503050E-08,-1.41492604577E+02
3.06030603060E-08,-1.40778057367E+02
3.07030703070E-08,-1.39694147776E+02
3.08030803080E-08,-1.38411367447E+02
3.09030903090E-08,-1.37144117172E+02
3.10031003100E-08,-1.36033116207E+02
3.11031103110E-08,-1.35144038170E+02
3.12031203120E-08,-1.34499753279E+02
3.13031303130E-08,-1.34104660093E+02
3.14031403140E-08,-1.33957725330E+02
3.15031503150E-08,-1.34058822252E+02
3.16031603160E-08,-1.34411720400E+02
3.17031703170E-08,-1.35025039505E+02
3.18031803180E-08,-1.35910435985E+02
3.19031903190E-08,-1.37073593059E+02
3.20032003200E-08,-1.38484215734E+02
3.21032103210E-08,-1.39992797022E+02
3.22032203220E-08,-1.41184799936E+02
3.23032303230E-08,-1.41460393497E+02
3.24032403240E-08,-1.40721997563E+02
3.25032503250E-08,-1.39528687261E+02
3.26032603260E-08,-1.38374690350E+02
3.27032703270E-08,-1.37458733635E+02
3.28032803280E-08,-1.36816498423E+02
3.29032903290E-08,-1.36414902468E+02
3.30033003300E-08,-1.36180677748E+02
3.31033103310E-08,-1.36003702898E+02
3.32033203320E-08,-1.35748025540E+02
3.33033303330E-08,-1.35295847261E+02
3.34033403340E-08,-1.34611002032E+02
3.35033503350E-08,-1.33758332738E+02
3.36033603360E-08,-1.32854352312E+02
3.37033703370E-08,-1.32006686279E+02
3.38033803380E-08,-1.31288419530E+02
3.39033903390E-08,-1.30740519100E+02
3.40034003400E-08,-1.30382295916E+02
3.41034103410E-08,-1.30220064657E+02
3.42034203420E-08,-1.30252088321E+02
3.43034303430E-08,-1.30470389122E+02
3.44034403440E-08,-1.30860191546E+02
3.45034503450E-08,-1.31397576858E+02
3.46034603460E-08,-1.32046211901E+02
3.47034703470E-08,-1.32755291272E+02
3.48034803480E-08,-1.33462990192E+02
3.49034903490E-08,-1.34110273005E+02
3.50035003500E-08,-1.34663728551E+02
3.51035103510E-08,-1.35134163453E+02
3.52035203520E-08,-1.35575825022E+02
3.53035303530E-08,-1.36068276594E+02
3.54035403540E-08,-1.36697918257E+02
3.55035503550E-08,-1.37551915627E+02
3.56035603560E-08,-1.38727110545E+02
3.57035703570E-08,-1.40356177559E+02
3.58035803580E-08,-1.42669844886E+02
3.59035903590E-08,-1.46185804311E+02
3.60036003600E-08,-1.52634828389E+02
3.61036103610E-08,-1.66146819397E+02
3.62036203620E-08,-1.50539552040E+02
3.63036303630E-08,-1.45235179203E+02
3.64036403640E-08,-1.42155781651E+02
3.65036503650E-08,-1.40100666418E+02
3.66036603660E-08,-1.38665696997E+02
3.67036703670E-08,-1.37666414172E+02
3.68036803680E-08,-1.37002816780E+02
3.69036903690E-08,-1.36612785754E+02
3.70037003700E-08,-1.36451587975E+02
3.71037103710E-08,-1.36480887109E+02
3.72037203720E-08,-1.36661975570E+02
3.73037303730E-08,-1.36951870562E+02
3.74037403740E-08,-1.37302841643E+02
3.75037503750E-08,-1.37666532228E+02
3.76037603760E-08,-1.38002200391E+02
3.77037703770E-08,-1.38284789755E+02
3.78037803780E-08,-1.38506263744E+02
3.79037903790E-08,-1.38667490812E+02
3.80038003800E-08,-1.38765871588E+02
3.81038103810E-08,-1.38788381393E+02
3.82038203820E-08,-1.38717157082E+02
3.83038303830E-08,-1.38546284032E+02
3.84038403840E-08,-1.38298096548E+02
3.85038503850E-08,-1.38025505911E+02
3.86038603860E-08,-1.37799259643E+02
3.87038703870E-08,-1.37691497851E+02
3.88038803880E-08,-1.37765472630E+02
3.89038903890E-08,-1.38072281434E+02
3.90039003900E-08,-1.38649533225E+02
3.91039103910E-08,-1.39513938251E+02
3.92039203920E-08,-1.40634200013E+02
3.93039303930E-08,-1.41862939555E+02
3.94039403940E-08,-1.42846403917E+02
3.95039503950E-08,-1.43140697159E+02
3.96039603960E-08,-1.42702525719E+02
3.97039703970E-08,-1.41975611867E+02
3.98039803980E-08,-1.41401220855E+02
3.99039903990E-08,-1.41224751205E+02
4.00040004000E-08,-1.41584550454E+02
4.01040104010E-08,-1.42607414861E+02
4.02040204020E-08,-1.44444175153E+02
4.03040304030E-08,-1.47023514841E+02
4.04040404040E-08,-1.48276042841E+02
4.05040504050E-08,-1.45508704128E+02
4.06040604060E-08,-1.41980998247E+02
4.07040704070E-08,-1.39219148356E+02
4.08040804080E-08,-1.37180815512E+02
4.09040904090E-08,-1.35701518626E+02
4.10041004100E-08,-1.34663458414E+02
4.11041104110E-08,-1.33988593266E+02
4.12041204120E-08,-1.33623301096E+02
4.13041304130E-08,-1.33527841712E+02
4.14041404140E-08,-1.33669258569E+02
4.15041504150E-08,-1.34015992583E+02
4.16041604160E-08,-1.34533264765E+02
4.17041704170E-08,-1.35179149641E+02
4.18041804180E-08,-1.35902359568E+02
4.19041904190E-08,-1.36643916517E+02
4.20042004200E-08,-1.37344824009E+02
4.21042104210E-08,-1.37958604334E+02
4.22042204220E-08,-1.38462114126E+02
